review_id,product_name,skin_type,rating,review_text,review_date,sentiment
1,Aloe Vera Moisturizer,Dry,4,I have been using this Aloe Vera Moisturizer for a few weeks and my skin feels smoother.,2021-07-12,Positive
2,Aloe Vera Moisturizer,Normal,4,This Aloe Vera Moisturizer feels lightweight and keeps my skin hydrated.,2023-05-07,Neutral
3,Hydrating Face Cream,Dry,4,After regular use this Hydrating Face Cream improved my skin condition.,2021-09-11,Positive
4,Sunscreen SPF50,Normal,2,My skin reacted badly after trying this Sunscreen SPF50.,2021-04-06,Positive
5,Anti-Aging Eye Cream,Dry,4,This Anti-Aging Eye Cream works well for my Dry skin and absorbs quickly.,2024-02-22,Positive
6,Acne Control Gel,Oily,3,The Acne Control Gel works fine but nothing very noticeable yet.,2024-01-27,Neutral
7,Hydrating Face Cream,Normal,5,This Hydrating Face Cream works well for my Normal skin and absorbs quickly.,2023-05-26,Positive
8,Aloe Vera Moisturizer,Sensitive,3,The Aloe Vera Moisturizer feels decent but I expected more improvement.,2022-05-24,Neutral
9,Acne Control Gel,Dry,5,The texture of this Acne Control Gel is nice and my skin looks healthier.,2023-07-09,Positive
10,Retinol Night Cream,Normal,2,After using this Retinol Night Cream my skin started feeling irritated.,2022-12-02,Negative
11,Acne Control Gel,Sensitive,3,This Acne Control Gel is okay but I am still unsure about the results.,2024-03-19,Neutral
12,Aloe Vera Moisturizer,Combination,3,This Aloe Vera Moisturizer seems fine for daily use so far.,2023-07-24,Neutral
13,Hydrating Face Cream,Oily,1,The texture of this Hydrating Face Cream felt heavy and uncomfortable.,2022-09-27,Negative
14,Tea Tree Toner,Sensitive,5,After regular use this Tea Tree Toner improved my skin condition.,2022-12-29,Neutral
15,Acne Control Gel,Normal,4,I have been using this Acne Control Gel for a few weeks and my skin feels smoother.,2021-09-22,Positive
16,Sunscreen SPF50,Sensitive,4,After regular use this Sunscreen SPF50 improved my skin condition.,2023-04-03,Positive
17,Anti-Aging Eye Cream,Combination,2,The texture of this Anti-Aging Eye Cream felt heavy and uncomfortable.,2023-01-05,Negative
18,Charcoal Face Wash,Dry,4,This Charcoal Face Wash works well for my Dry skin and absorbs quickly.,2022-04-23,Positive
19,Vitamin C Serum,Sensitive,2,This Vitamin C Serum did not work well for my Sensitive skin.,2021-10-26,Negative
20,Charcoal Face Wash,Normal,5,This Charcoal Face Wash feels lightweight and keeps my skin hydrated.,2023-11-22,Positive
21,Tea Tree Toner,Oily,3,This Tea Tree Toner seems fine for daily use so far.,2023-03-29,Neutral
22,Charcoal Face Wash,Oily,3,The Charcoal Face Wash feels decent but I expected more improvement.,2022-03-04,Positive
23,Niacinamide Serum,Dry,4,This Niacinamide Serum feels lightweight and keeps my skin hydrated.,2024-03-06,Positive
24,Acne Control Gel,Normal,4,The texture of this Acne Control Gel is nice and my skin looks healthier.,2023-02-10,Positive
25,Acne Control Gel,Combination,2,My skin reacted badly after trying this Acne Control Gel.,2021-08-25,Negative
26,Niacinamide Serum,Sensitive,3,I tried this Niacinamide Serum for a few days and results are average.,2021-07-29,Neutral
27,Aloe Vera Moisturizer,Combination,3,The Aloe Vera Moisturizer works fine but nothing very noticeable yet.,2022-02-25,Neutral
28,Anti-Aging Eye Cream,Combination,4,This Anti-Aging Eye Cream feels lightweight and keeps my skin hydrated.,2022-09-03,Positive
29,Hydrating Face Cream,Combination,3,The Hydrating Face Cream works fine but nothing very noticeable yet.,2022-04-02,Neutral
30,Anti-Aging Eye Cream,Normal,1,I expected better results from this Anti-Aging Eye Cream.,2022-02-04,Negative
31,Sunscreen SPF50,Sensitive,1,This Sunscreen SPF50 did not work well for my Sensitive skin.,2022-12-30,Negative
32,Vitamin C Serum,Oily,2,The texture of this Vitamin C Serum felt heavy and uncomfortable.,2022-12-07,Negative
33,Niacinamide Serum,Combination,1,I expected better results from this Niacinamide Serum.,2022-04-10,Negative
34,Niacinamide Serum,Dry,4,After regular use this Niacinamide Serum improved my skin condition.,2022-12-06,Positive
35,Hydrating Face Cream,Oily,2,This Hydrating Face Cream did not work well for my Oily skin.,2023-06-08,Negative
36,Aloe Vera Moisturizer,Oily,2,The texture of this Aloe Vera Moisturizer felt heavy and uncomfortable.,2021-06-23,Negative
37,Acne Control Gel,Dry,1,After using this Acne Control Gel my skin started feeling irritated.,2023-08-12,Negative
38,Acne Control Gel,Normal,2,The texture of this Acne Control Gel felt heavy and uncomfortable.,2024-01-28,Negative
39,Acne Control Gel,Oily,4,I have been using this Acne Control Gel for a few weeks and my skin feels smoother.,2022-02-03,Positive
40,Sunscreen SPF50,Oily,4,The texture of this Sunscreen SPF50 is nice and my skin looks healthier.,2022-10-30,Positive
41,Retinol Night Cream,Normal,3,The Retinol Night Cream works fine but nothing very noticeable yet.,2022-12-26,Negative
42,Niacinamide Serum,Normal,2,My skin reacted badly after trying this Niacinamide Serum.,2023-10-25,Negative
43,Acne Control Gel,Normal,4,This Acne Control Gel feels lightweight and keeps my skin hydrated.,2022-01-11,Positive
44,Tea Tree Toner,Oily,1,This Tea Tree Toner did not work well for my Oily skin.,2021-09-04,Negative
45,Anti-Aging Eye Cream,Oily,5,This Anti-Aging Eye Cream feels lightweight and keeps my skin hydrated.,2021-08-06,Positive
46,Anti-Aging Eye Cream,Oily,4,The texture of this Anti-Aging Eye Cream is nice and my skin looks healthier.,2023-11-06,Positive
47,Niacinamide Serum,Normal,5,I have been using this Niacinamide Serum for a few weeks and my skin feels smoother.,2023-11-02,Positive
48,Tea Tree Toner,Normal,5,The texture of this Tea Tree Toner is nice and my skin looks healthier.,2023-09-07,Positive
49,Anti-Aging Eye Cream,Dry,3,I tried this Anti-Aging Eye Cream for a few days and results are average.,2022-02-19,Neutral
50,Niacinamide Serum,Dry,3,The Niacinamide Serum feels decent but I expected more improvement.,2021-05-29,Neutral
51,Sunscreen SPF50,Sensitive,4,The texture of this Sunscreen SPF50 is nice and my skin looks healthier.,2021-11-13,Positive
52,Aloe Vera Moisturizer,Dry,5,This Aloe Vera Moisturizer works well for my Dry skin and absorbs quickly.,2021-07-12,Positive
53,Charcoal Face Wash,Sensitive,4,This Charcoal Face Wash works well for my Sensitive skin and absorbs quickly.,2023-11-22,Positive
54,Charcoal Face Wash,Combination,3,I tried this Charcoal Face Wash for a few days and results are average.,2023-01-20,Neutral
55,Vitamin C Serum,Combination,3,The Vitamin C Serum feels decent but I expected more improvement.,2023-02-27,Neutral
56,Aloe Vera Moisturizer,Normal,3,This Aloe Vera Moisturizer seems fine for daily use so far.,2021-08-20,Neutral
57,Sunscreen SPF50,Oily,4,The texture of this Sunscreen SPF50 is nice and my skin looks healthier.,2022-01-07,Positive
58,Retinol Night Cream,Dry,2,I expected better results from this Retinol Night Cream.,2023-11-21,Negative
59,Tea Tree Toner,Sensitive,2,After using this Tea Tree Toner my skin started feeling irritated.,2022-01-11,Negative
60,Charcoal Face Wash,Oily,4,I have been using this Charcoal Face Wash for a few weeks and my skin feels smoother.,2021-06-21,Positive
